Urea 10	19345245	32684919
Urea 10	313304	9801169
Urea 10	52600036	70212391
Urea 10	61651758	71099109
Urea 10	69603414	80834685
Urea 10	75782358	90051857
Urea 10	87317636	103902058
Urea 11	111924922	129548770
Urea 11	118718729	130927058
Urea 11	23352093	38114678
Urea 11	24556683	34633745
Urea 11	44458386	56887989
Urea 11	486855	8052802
Urea 11	57128285	74527143
Urea 11	62129977	79216693
Urea 11	80407283	95689359
Urea 12	111734681	130927677
Urea 12	41846657	53364233
Urea 12	42424906	60258712
Urea 12	48169412	65099660
Urea 12	5670501	24117437
Urea 13	102821641	114859260
Urea 13	41081410	59469636
Urea 13	66464503	81573545
Urea 13	67037939	81668731
Urea 14	93386287	104331072
Urea 15	48138120	63728128
Urea 15	53839779	69594054
Urea 15	55835157	72973223
Urea 15	72058129	86055629
Urea 15	89629594	101260522
Urea 16	11658459	26642191
Urea 16	49967284	59412663
Urea 16	51475990	60377491
Urea 16	64936928	79655022
Urea 16	80559713	90174092
Urea 17	1696163	16868561
Urea 17	27787645	45910837
Urea 17	28011338	43263019
Urea 17	35770350	53500334
Urea 17	37490204	57074467
Urea 17	50245050	68377220
Urea 17	56500898	75345457
Urea 17	71010890	81064661
Urea 18	14536719	29189906
Urea 18	35667165	55239820
Urea 18	37908418	53235579
Urea 18	53173173	58881139
Urea 18	70678675	77975259
Urea 18	896436	10803721
Urea 19	35847441	53479227
Urea 19	37391047	55608143
Urea 19	39396649	57942588
Urea 19	469418	15550532
Urea 1	150214166	159566336
Urea 1	196995157	211516262
Urea 1	204188517	223113264
Urea 1	208097300	227533525
Urea 1	21954965	40370836
Urea 1	47278997	60747785
Urea 1	60237224	73916013
Urea 1	73659521	92842367
Urea 1	79317529	98719769
Urea 1	8717382	22927408
Urea 1	91646571	110218766
Urea 20	44762134	62718787
Urea 20	47779956	62901205
Urea 21	14835749	23640566
Urea 21	26474599	38958879
Urea 21	35247611	47466314
Urea 22	32571940	50884075
Urea 2	105126154	121336883
Urea 2	111992975	121343839
Urea 2	112004814	129246471
Urea 2	12927079	29150981
Urea 2	141504947	157656148
Urea 2	168634310	185439065
Urea 2	1989289	12951428
Urea 2	20246574	37555514
Urea 2	203120006	219615878
Urea 2	212290048	228100650
Urea 2	23368	10150867
Urea 2	7181560	21049129
Urea 2	75840473	92303830
Urea 3	111734945	127236915
Urea 3	129303436	144575659
Urea 3	145220351	162099160
Urea 3	160548557	176797219
Urea 3	16387332	33856210
Urea 3	178172113	196228360
Urea 3	185275627	196189511
Urea 3	1918368	20131260
Urea 3	55459679	72168923
Urea 3	58167906	72159035
Urea 4	137568624	153003982
Urea 4	30314237	48331520
Urea 4	32011441	48294906
Urea 4	68126983	86871480
Urea 4	94252621	108635662
Urea 5	149816761	166289264
Urea 5	169584072	179285195
Urea 5	21714	9098450
Urea 5	27140874	44045579
Urea 5	32256910	50522284
Urea 5	45601931	63202432
Urea 5	63107555	76720795
Urea 5	82170195	98324653
Urea 6	117565453	135204050
Urea 6	1299251	19362888
Urea 6	14928982	34197219
Urea 6	153680476	164444061
Urea 6	156986550	166668674
Urea 6	23271503	41852616
Urea 6	34238946	46975396
Urea 6	41832695	58775891
Urea 6	42849195	56664374
Urea 7	142359898	157320440
Urea 7	17998418	30237087
Urea 7	37302923	56335967
Urea 7	617106	10648953
Urea 7	619899	9863374
Urea 7	65465122	79808675
Urea 7	67668488	86932255
Urea 7	8071331	27260001
Urea 7	92415927	106632113
Urea 7	97493340	108222958
Urea 8	119001300	134719574
Urea 8	17980774	32445428
Urea 8	20395672	39956275
Urea 8	57775940	76632776
Urea 9	109650865	122765084
Urea 9	129408290	140215415
Urea 9	5894102	20145599
Urea 9	70950361	80926905
Urea X	108841426	122750481
Urea X	123866961	135704844
Urea X	13239200	27126600
Urea X	144161436	153279822
Urea X	3432254	13421847
Urea X	93553547	109124630
